00501=5|Y
00544=5|Y
00601=4|N
00602=4|N
00603=4|N
00604=4|N
00605=4|N
00606=4|N
00610=4|N
00611=4|N
00612=4|N
00613=4|N
00614=4|N
00616=4|N
00617=4|N
00622=4|N
00623=4|N
00624=4|N
00627=4|N
00631=4|N
00636=4|N
00637=4|N
00638=4|N
00641=4|N
00646=4|N
00647=4|N
00650=4|N
00652=4|N
00653=4|N
00656=4|N
00659=4|N
00660=4|N
00662=4|N
00664=4|N
00667=4|N
00669=4|N
00670=4|N
00674=4|N
00676=4|N
00677=4|N
00678=4|N
00680=4|N
00681=4|N
00682=4|N
00683=4|N
00685=4|N
00687=4|N
00688=4|N
00690=4|N
00692=4|N
00693=4|N
00694=4|N
00698=4|N
00703=4|N
00704=4|N
00705=4|N
00707=4|N
00714=4|N
00715=4|N
00716=4|N
00717=4|N
00718=4|N
00719=4|N
00720=4|N
00721=4|N
00723=4|N
00725=4|N
00726=4|N
00727=4|N
00728=4|N
00729=4|N
00730=4|N
00731=4|N
00732=4|N
00733=4|N
00734=4|N
00735=4|N
00736=4|N
00737=4|N
00738=4|N
00739=4|N
00740=4|N
00741=4|N
00742=4|N
00744=4|N
00745=4|N
00751=4|N
00754=4|N
00757=4|N
00765=4|N
00766=4|N
00767=4|N
00769=4|N
00771=4|N
00772=4|N
00773=4|N
00775=4|N
00777=4|N
00778=4|N
00780=4|N
00782=4|N
00783=4|N
00784=4|N
00785=4|N
00786=4|N
00791=4|N
00792=4|N
00794=4|N
00795=4|N
00801=4|N
00802=4|N
00803=4|N
00804=4|N
00805=4|N
00820=4|N
00821=4|N
00822=4|N
00823=4|N
00824=4|N
00830=4|N
00831=4|N
00840=4|N
00841=4|N
00850=4|N
00851=4|N
00901=4|N
00902=4|N
00906=4|N
00907=4|N
00908=4|N
00909=4|N
00910=4|N
00911=4|N
00912=4|N
00913=4|N
00914=4|N
00915=4|N
00916=4|N
00917=4|N
00918=4|N
00919=4|N
00920=4|N
00921=4|N
00922=4|N
00923=4|N
00924=4|N
00925=4|N
00926=4|N
00927=4|N
00928=4|N
00929=4|N
00930=4|N
00931=4|N
00933=4|N
00934=4|N
00935=4|N
00936=4|N
00937=4|N
00939=4|N
00940=4|N
00949=4|N
00950=4|N
00951=4|N
00952=4|N
00953=4|N
00954=4|N
00955=4|N
00956=4|N
00957=4|N
00958=4|N
00959=4|N
00960=4|N
00961=4|N
00962=4|N
00963=4|N
00965=4|N
00966=4|N
00968=4|N
00969=4|N
00970=4|N
00971=4|N
00975=4|N
00976=4|N
00977=4|N
00978=4|N
00979=4|N
00981=4|N
00982=4|N
00983=4|N
00984=4|N
00985=4|N
00986=4|N
00987=4|N
00988=4|N
01001=5|Y
01002=5|Y
01003=5|Y
01004=5|Y
01005=5|Y
01007=5|Y
01008=5|Y
01009=5|Y
01010=5|Y
01011=5|Y
01012=5|Y
01013=5|Y
01014=5|Y
01020=5|Y
01021=5|Y
01022=5|Y
01026=5|Y
01027=5|Y
01028=5|Y
01029=5|Y
01030=5|Y
01031=5|Y
01032=5|Y
01033=5|Y
01034=5|Y
01035=5|Y
01036=5|Y
01037=5|Y
01038=5|Y
01039=5|Y
01040=5|Y
01041=5|Y
01050=5|Y
01053=5|Y
01054=5|Y
01056=5|Y
01057=5|Y
01059=5|Y
01060=5|Y
01061=5|Y
01062=5|Y
01063=5|Y
01066=5|Y
01068=5|Y
01069=5|Y
01070=5|Y
01071=5|Y
01072=5|Y
01073=5|Y
01074=5|Y
01075=5|Y
01077=5|Y
01079=5|Y
01080=5|Y
01081=5|Y
01082=5|Y
01083=5|Y
01084=5|Y
01085=5|Y
01086=5|Y
01088=5|Y
01089=5|Y
01090=5|Y
01092=5|Y
01093=5|Y
01094=5|Y
01095=5|Y
01096=5|Y
01097=5|Y
01098=5|Y
01101=5|Y
01102=5|Y
01103=5|Y
01104=5|Y
01105=5|Y
01106=5|Y
01107=5|Y
01108=5|Y
01109=5|Y
01111=5|Y
01115=5|Y
01116=5|Y
01118=5|Y
01119=5|Y
01128=5|Y
01129=5|Y
01138=5|Y
01139=5|Y
01144=5|Y
01151=5|Y
01152=5|Y
01199=5|Y
01201=5|Y
01202=5|Y
01203=5|Y
01220=5|Y
01222=5|Y
01223=5|Y
01224=5|Y
01225=5|Y
01226=5|Y
01227=5|Y
01229=5|Y
01230=5|Y
01235=5|Y
01236=5|Y
01237=5|Y
01238=5|Y
01240=5|Y
01242=5|Y
01243=5|Y
01244=5|Y
01245=5|Y
01247=5|Y
01252=5|Y
01253=5|Y
01254=5|Y
01255=5|Y
01256=5|Y
01257=5|Y
01258=5|Y
01259=5|Y
01260=5|Y
01262=5|Y
01263=5|Y
01264=5|Y
01266=5|Y
01267=5|Y
01270=5|Y
01301=5|Y
01302=5|Y
01330=5|Y
01331=5|Y
01337=5|Y
01338=5|Y
01339=5|Y
01340=5|Y
01341=5|Y
01342=5|Y
01343=5|Y
01344=5|Y
01346=5|Y
01347=5|Y
01349=5|Y
01350=5|Y
01351=5|Y
01354=5|Y
01355=5|Y
01360=5|Y
01364=5|Y
01366=5|Y
01367=5|Y
01368=5|Y
01370=5|Y
